Delegado;Tiempo;CPU Load Inicial;CPU Load Mitad;CPU Load Final;Estado Final 
1;267.0;0.0;66.6;83.6;OK
2;11.0;100.0;100.0;50.0;OK
3;10.0;0.0;0.0;0.0;OK
4;8.0;0.0;0.0;0.0;OK
0;284.0;0.0;71.1;0.0;OK
5;8.0;0.0;0.0;0.0;OK
7;6.0;0.0;0.0;0.0;OK
8;6.0;0.0;0.0;0.0;OK
6;42.0;0.0;0.0;0.0;OK
9;33.0;0.0;0.0;0.0;OK
10;6.0;0.0;0.0;0.0;OK
11;4.0;75.0;0.0;33.3;OK
12;10.0;32.4;0.0;66.6;OK
13;6.0;50.0;0.0;66.6;OK
14;5.0;15.0;0.0;0.0;OK
15;6.0;0.0;0.0;0.0;OK
16;7.0;0.0;0.0;0.0;OK
17;5.0;0.0;0.0;0.0;OK
18;9.0;0.0;0.0;0.0;OK
19;7.0;0.0;0.0;0.0;OK
20;5.0;0.0;0.0;0.0;OK
21;6.0;38.9;100.0;66.6;OK
22;15.0;31.5;100.0;50.0;OK
23;5.0;37.1;100.0;50.0;OK
24;5.0;31.5;0.0;0.0;OK
25;11.0;0.0;0.0;0.0;OK
26;5.0;0.0;0.0;0.0;OK
27;7.0;0.0;0.0;0.0;OK
28;7.0;0.0;0.0;0.0;OK
29;5.0;0.0;0.0;0.0;OK
30;10.0;0.0;0.0;0.0;OK
31;5.0;41.2;0.0;0.0;OK
32;5.0;0.0;0.0;0.0;OK
33;5.0;0.0;0.0;0.0;OK
34;4.0;0.0;0.0;0.0;OK
35;14.0;0.0;0.0;0.0;OK
36;7.0;0.0;0.0;0.0;OK
37;5.0;0.0;0.0;0.0;OK
38;5.0;0.0;0.0;0.0;OK
39;4.0;0.0;0.0;0.0;OK
40;6.0;0.0;0.0;0.0;OK
41;5.0;38.6;0.0;0.0;OK
42;7.0;0.0;0.0;0.0;OK
43;5.0;0.0;0.0;0.0;OK
44;10.0;0.0;0.0;0.0;OK
45;6.0;0.0;0.0;0.0;OK
46;6.0;0.0;0.0;0.0;OK
47;4.0;0.0;0.0;0.0;OK
48;5.0;0.0;0.0;0.0;OK
49;7.0;0.0;0.0;0.0;OK
50;5.0;0.0;0.0;0.0;OK
51;8.0;47.4;0.0;66.6;OK
52;9.0;0.0;0.0;0.0;OK
53;7.0;0.0;0.0;0.0;OK
54;6.0;0.0;0.0;0.0;OK
55;6.0;0.0;0.0;0.0;OK
56;10.0;0.0;0.0;0.0;OK
57;5.0;0.0;0.0;0.0;OK
58;6.0;0.0;0.0;0.0;OK
59;5.0;0.0;0.0;0.0;OK
60;7.0;0.0;0.0;0.0;OK
61;4.0;44.4;0.0;50.0;OK
62;6.0;29.7;0.0;75.0;OK
63;7.0;35.0;0.0;66.6;OK
64;6.0;0.0;0.0;0.0;OK
65;4.0;0.0;0.0;0.0;OK
66;5.0;0.0;0.0;0.0;OK
67;7.0;0.0;0.0;0.0;OK
68;3.0;0.0;0.0;0.0;OK
69;4.0;0.0;0.0;0.0;OK
70;5.0;0.0;0.0;0.0;OK
71;4.0;40.9;0.0;0.0;OK
72;5.0;34.2;100.0;66.6;OK
73;5.0;31.5;100.0;50.0;OK
74;7.0;0.0;0.0;0.0;OK
75;6.0;0.0;0.0;0.0;OK
76;7.0;0.0;0.0;0.0;OK
77;3.0;0.0;0.0;0.0;OK
78;11.0;0.0;0.0;0.0;OK
79;5.0;0.0;0.0;0.0;OK
