Delegado;Tiempo;CPU Load Inicial;CPU Load Mitad;CPU Load Final;Estado Final 
0;364.0;0.0;72.5;80.9;OK
1;27.0;100.0;100.0;63.6;OK
2;11.0;75.0;100.0;75.0;OK
3;14.0;0.0;0.0;0.0;OK
4;16.0;0.0;0.0;0.0;OK
5;9.0;0.0;0.0;0.0;OK
6;9.0;0.0;0.0;0.0;OK
7;6.0;0.0;0.0;0.0;OK
8;6.0;0.0;0.0;0.0;OK
9;11.0;0.0;0.0;0.0;OK
10;8.0;0.0;0.0;0.0;OK
11;7.0;0.0;0.0;0.0;OK
12;5.0;0.0;0.0;0.0;OK
13;5.0;0.0;0.0;0.0;OK
14;10.0;0.0;0.0;0.0;OK
15;15.0;0.0;0.0;0.0;OK
16;5.0;0.0;0.0;0.0;OK
17;4.0;0.0;0.0;0.0;OK
18;11.0;0.0;0.0;0.0;OK
19;13.0;0.0;0.0;0.0;OK
20;6.0;0.0;0.0;0.0;OK
21;6.0;47.9;100.0;100.0;OK
22;4.0;34.2;0.0;50.0;OK
23;6.0;0.0;0.0;0.0;OK
24;5.0;0.0;0.0;0.0;OK
25;10.0;0.0;0.0;0.0;OK
26;5.0;0.0;0.0;0.0;OK
27;4.0;0.0;0.0;0.0;OK
28;3.0;0.0;0.0;0.0;OK
29;5.0;0.0;0.0;0.0;OK
30;5.0;0.0;0.0;0.0;OK
31;4.0;40.0;33.3;100.0;OK
32;6.0;28.9;0.0;75.0;OK
33;5.0;0.0;0.0;0.0;OK
34;6.0;0.0;0.0;0.0;OK
35;5.0;0.0;0.0;0.0;OK
36;7.0;0.0;0.0;0.0;OK
37;5.0;0.0;0.0;0.0;OK
38;7.0;0.0;0.0;0.0;OK
39;4.0;0.0;0.0;0.0;OK
40;5.0;0.0;0.0;0.0;OK
41;5.0;40.1;0.0;66.6;OK
42;11.0;42.1;100.0;50.0;OK
43;3.0;0.0;0.0;0.0;OK
44;6.0;0.0;0.0;0.0;OK
45;7.0;0.0;0.0;0.0;OK
46;5.0;0.0;0.0;0.0;OK
47;11.0;0.0;0.0;0.0;OK
48;3.0;0.0;0.0;0.0;OK
49;4.0;0.0;0.0;0.0;OK
50;5.0;0.0;0.0;0.0;OK
51;7.0;34.3;0.0;75.0;OK
52;5.0;47.3;0.0;75.0;OK
53;4.0;31.5;100.0;100.0;OK
54;4.0;0.0;0.0;0.0;OK
55;7.0;0.0;0.0;0.0;OK
56;4.0;0.0;0.0;0.0;OK
57;6.0;0.0;0.0;0.0;OK
58;4.0;0.0;0.0;0.0;OK
59;5.0;0.0;0.0;0.0;OK
60;3.0;0.0;0.0;0.0;OK
61;4.0;36.5;100.0;0.0;OK
62;6.0;0.0;0.0;0.0;OK
63;10.0;0.0;0.0;0.0;OK
64;4.0;0.0;0.0;0.0;OK
65;4.0;0.0;0.0;0.0;OK
66;4.0;0.0;0.0;0.0;OK
67;5.0;0.0;0.0;0.0;OK
68;5.0;0.0;0.0;0.0;OK
69;3.0;0.0;0.0;0.0;OK
70;6.0;0.0;0.0;0.0;OK
71;3.0;35.3;100.0;0.0;OK
72;3.0;34.2;0.0;100.0;OK
73;4.0;17.9;0.0;100.0;OK
74;4.0;60.9;0.0;0.0;OK
75;3.0;0.0;0.0;0.0;OK
76;3.0;0.0;0.0;0.0;OK
77;4.0;0.0;0.0;0.0;OK
78;6.0;0.0;0.0;0.0;OK
79;6.0;0.0;0.0;0.0;OK
