Delegado;Tiempo;CPU Load;Estado Final 
0;727.0;;OK
1;723.0;;OK
2;1.0;;OK
3;0.0;;OK
4;8.0;;OK
5;3.0;;OK
6;1.0;;OK
7;1.0;;OK
8;1.0;;OK
9;0.0;;OK
10;0.0;;OK
11;0.0;;OK
12;0.0;;OK
13;0.0;;OK
14;0.0;;OK
15;0.0;;OK
16;1.0;;OK
17;0.0;;OK
18;0.0;;OK
19;0.0;;OK
20;0.0;;OK
21;0.0;;OK
22;1.0;;OK
23;1.0;;OK
24;0.0;;OK
25;1.0;;OK
26;1.0;;OK
27;0.0;;OK
28;0.0;;OK
29;1.0;;OK
30;0.0;;OK
31;1.0;;OK
32;0.0;;OK
33;1.0;;OK
34;0.0;;OK
35;0.0;;OK
36;0.0;;OK
37;0.0;;OK
38;1.0;;OK
39;1.0;;OK
40;1.0;;OK
41;1.0;;OK
42;1.0;;OK
43;0.0;;OK
44;0.0;;OK
45;1.0;;OK
46;0.0;;OK
47;0.0;;OK
48;1.0;;OK
49;0.0;;OK
50;0.0;;OK
51;1.0;;OK
52;0.0;;OK
53;7.0;;OK
54;1.0;;OK
55;1.0;;OK
56;1.0;;OK
57;0.0;;OK
58;0.0;;OK
59;0.0;;OK
60;0.0;;OK
61;0.0;;OK
62;0.0;;OK
63;0.0;;OK
64;0.0;;OK
65;1.0;;OK
66;0.0;;OK
67;1.0;;OK
68;0.0;;OK
69;0.0;;OK
70;0.0;;OK
71;0.0;;OK
72;0.0;;OK
73;0.0;;OK
74;0.0;;OK
75;0.0;;OK
76;0.0;;OK
77;3.0;;OK
78;0.0;;OK
79;0.0;;OK
80;1.0;;OK
81;0.0;;OK
82;0.0;;OK
83;1.0;;OK
84;0.0;;OK
85;1.0;;OK
86;1.0;;OK
87;1.0;;OK
88;0.0;;OK
89;1.0;;OK
90;0.0;;OK
91;0.0;;OK
92;1.0;;OK
93;1.0;;OK
94;1.0;;OK
95;0.0;;OK
96;1.0;;OK
97;0.0;;OK
98;1.0;;OK
99;1.0;;OK
100;0.0;;OK
101;0.0;;OK
102;0.0;;OK
103;1.0;;OK
104;1.0;;OK
105;0.0;;OK
106;0.0;;OK
107;1.0;;OK
108;0.0;;OK
109;1.0;;OK
110;0.0;;OK
111;0.0;;OK
112;0.0;;OK
113;0.0;;OK
114;0.0;;OK
115;1.0;;OK
116;0.0;;OK
117;0.0;;OK
118;0.0;;OK
119;0.0;;OK
120;1.0;;OK
121;0.0;;OK
122;0.0;;OK
123;1.0;;OK
124;0.0;;OK
125;0.0;;OK
126;0.0;;OK
127;0.0;;OK
128;0.0;;OK
129;1.0;;OK
130;0.0;;OK
131;0.0;;OK
132;0.0;;OK
133;0.0;;OK
134;0.0;;OK
135;0.0;;OK
136;0.0;;OK
137;0.0;;OK
138;1.0;;OK
139;0.0;;OK
140;0.0;;OK
141;0.0;;OK
142;1.0;;OK
143;0.0;;OK
144;0.0;;OK
145;0.0;;OK
146;1.0;;OK
147;0.0;;OK
148;0.0;;OK
149;0.0;;OK
150;0.0;;OK
151;0.0;;OK
152;0.0;;OK
153;0.0;;OK
154;0.0;;OK
155;0.0;;OK
156;1.0;;OK
157;0.0;;OK
158;0.0;;OK
159;0.0;;OK
160;0.0;;OK
161;1.0;;OK
162;1.0;;OK
163;0.0;;OK
164;1.0;;OK
165;0.0;;OK
166;1.0;;OK
167;0.0;;OK
168;0.0;;OK
169;1.0;;OK
170;0.0;;OK
171;1.0;;OK
172;0.0;;OK
173;0.0;;OK
174;0.0;;OK
175;0.0;;OK
176;0.0;;OK
177;1.0;;OK
178;1.0;;OK
179;1.0;;OK
180;0.0;;OK
181;0.0;;OK
182;0.0;;OK
183;1.0;;OK
184;0.0;;OK
185;1.0;;OK
186;0.0;;OK
187;0.0;;OK
188;0.0;;OK
189;1.0;;OK
190;0.0;;OK
191;0.0;;OK
192;1.0;;OK
193;1.0;;OK
194;1.0;;OK
195;1.0;;OK
196;0.0;;OK
197;0.0;;OK
198;0.0;;OK
199;0.0;;OK
200;1.0;;OK
201;0.0;;OK
202;0.0;;OK
203;0.0;;OK
204;0.0;;OK
205;1.0;;OK
206;1.0;;OK
207;1.0;;OK
208;1.0;;OK
209;0.0;;OK
210;0.0;;OK
211;0.0;;OK
212;1.0;;OK
213;0.0;;OK
214;1.0;;OK
215;1.0;;OK
216;1.0;;OK
217;0.0;;OK
218;0.0;;OK
219;0.0;;OK
220;0.0;;OK
221;0.0;;OK
222;1.0;;OK
223;0.0;;OK
224;1.0;;OK
225;1.0;;OK
226;2.0;;OK
227;0.0;;OK
228;0.0;;OK
229;0.0;;OK
230;0.0;;OK
231;0.0;;OK
232;0.0;;OK
233;0.0;;OK
234;0.0;;OK
235;1.0;;OK
236;0.0;;OK
237;0.0;;OK
238;0.0;;OK
239;0.0;;OK
240;0.0;;OK
241;0.0;;OK
242;0.0;;OK
243;0.0;;OK
244;0.0;;OK
245;0.0;;OK
246;0.0;;OK
247;0.0;;OK
248;0.0;;OK
249;1.0;;OK
250;0.0;;OK
251;1.0;;OK
252;0.0;;OK
253;0.0;;OK
254;1.0;;OK
255;0.0;;OK
256;0.0;;OK
257;0.0;;OK
258;1.0;;OK
259;0.0;;OK
260;1.0;;OK
261;0.0;;OK
262;0.0;;OK
263;1.0;;OK
264;1.0;;OK
265;1.0;;OK
266;0.0;;OK
267;0.0;;OK
268;0.0;;OK
269;0.0;;OK
270;0.0;;OK
271;0.0;;OK
272;0.0;;OK
273;0.0;;OK
274;0.0;;OK
275;1.0;;OK
276;1.0;;OK
277;0.0;;OK
278;0.0;;OK
279;0.0;;OK
280;0.0;;OK
281;1.0;;OK
282;0.0;;OK
283;0.0;;OK
284;0.0;;OK
285;0.0;;OK
286;0.0;;OK
287;1.0;;OK
288;0.0;;OK
289;0.0;;OK
290;0.0;;OK
291;0.0;;OK
292;0.0;;OK
293;0.0;;OK
294;0.0;;OK
295;1.0;;OK
296;1.0;;OK
297;0.0;;OK
298;0.0;;OK
299;0.0;;OK
300;1.0;;OK
301;0.0;;OK
302;0.0;;OK
303;0.0;;OK
304;0.0;;OK
305;1.0;;OK
306;0.0;;OK
307;0.0;;OK
308;0.0;;OK
309;0.0;;OK
310;1.0;;OK
